record_id,timestamp,study_id,extraction_id,citation,first_author,year,doi,country,n_countries,feedstock_category,specific_feedstock,feedstock_single_or_mixed,feedstock_composition,co_amendment,co_amendment_present,co_amendment_class,carbonization_method,carbonization_atmosphere,biochar_modification,modification_present,modification_class,pyrolysis_temp_c,pyrolysis_temp_min_c,pyrolysis_temp_max_c,pyrolysis_temp_reported,residence_time_min,residence_time_reported,particle_size,particle_size_max_mm,particle_size_class,biochar_ph,biochar_ph_sd,biochar_ph_reported,surface_area_m2_g,surface_area_sd,surface_area_reported,ash_content_pct,ash_content_sd,ash_content_reported,functional_groups,functional_groups_std,cec_cmolc_kg,cec_sd,cec_reported,cec_reported_for,experiment_type,soil_type,soil_type_class,contamination_source,target_metals,n_metals,initial_metal_concentration,soil_ph,soil_ph_sd,soil_ph_reported,biochar_application_rate,application_rate_pct_ww,application_rate_t_ha,soil_incubation,soil_incubation_days,plant_growth_period,plant_growth_days,experimental_duration,experimental_duration_days,leafy_vegetable_species,species_common,species_scientific,n_species,edible_part,soil_bioavailability_method,bioavailability_method_std,change_in_soil_bioavailability,plant_metal_conc_control,plant_metal_conc_treated,change_in_plant_metal_uptake,bcf,baf,tf,hq,hi,cr,bcf_reported,baf_reported,tf_reported,health_risk_reported,immobilization_mechanism,mechanism_std,main_findings,randomization_reported,replication_reported,control_treatment_present,biochar_characterization_adequate,statistical_analysis_reported,overall_risk_of_bias,reviewer_initials
18,2026-06-29 17:57:32,16,16-4,Peng et al. 2020,Peng,2020,10.1016/j.jclepro.2020.124052,China,1,Husk,Rice husk,Single,Rice husk,"Phosphogypsum (PG), 10% w/w",Yes,Phosphate mineral,Slow pyrolysis,NR,None,No,None,600,600,600,600,,NR,<1.0 mm,1,Sieved,10.4,,10.4,172.16,,172.16,,,NR,"C-O, C=O, CO32-, aromatic C groups",C=O; C=C; C-O; CO3,,,NR,NR,Pot,"Sand (medium quartz, 0.25-0.5 mm)",Experimental/other,Naturally contaminated,As; Cd; F; Hg; Pb,5,NR,,,NR,6% w/w (60 g biochar per 1 kg sand),6,,1 week,7,42 days,42,49 days,49,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),NR,NR,NR (but leachate PTE concentrations significantly reduced; RHB+PG reduced pollution to surrounding environment),Control: As ~0.2; F ~3.5; Cd ~0.35; Pb ~0.35; Hg ~0.01 mg/kg (Fig. 10),"RHB+PG in sand: As:0.0 (below detection),F =1.2, Cd=0.08, Pb=0.04 mg/kg","compared to PG-only treatment this combination reduced mental uptake by As decreased100%, F decreased64%, Cd decreased75%, Pb decreased88%",NR,NR,NR,NR,NR,NR,No,No,No,No,"Surface complexation, Ion exchange, Precipitation, Electrostatic interaction,Ligand exchange with hydroxyl groups, Complexation with O-containing functional groups, Metal bridge formation",Surface complexation; Ion exchange; Precipitation; Electrostatic interaction; Functional group binding,"RHB+PG in sand was most effective: reduced As (100%), F (64%), Cd (75%), Pb (88%) in asparagus lettuce and increased yield by 605% compared to control.",Yes,Yes,Yes,Yes,Yes,Very low,Emmy
19,2026-07-21 17:47:08,17,17-1,Moradi et al. 2021,Moradi,2021,10.1007/s12517-021-07982-8,Iran,1,Straw,Wheat straw,Single,Wheat straw,None,No,None,Slow pyrolysis,NR,None,No,None,500,500,500,500,120,120.0,2.0 mm,2,Sieved,9.94,0.095,9.94 +/- 0.095,,,NR,22.98,0.11,22.98 +/- 0.11,NR,NR,59.09,1.8,59.09 +/- 1.8,biochar,Pot,Calcareous silty loam (Typic Calcixerepts),Agricultural,Artificially spiked,Pb,1,"Native soil Pb = 31 ± 1.15 mg /kg; experimental Pb levels = 0, 100 and 500 mg Pb /kg soil",7.85,0.21,7.85 +/- 0.21,5% (w/w),5,,7 days,7,60 days,60,67 days,67,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),1 M NH4NO3 extraction,NH4NO3,"At the highest Pb level (500 mg /kg), NH4NO3-extractable Pb was reduced by 51.8% relative to the control at the 5% biochar application rate.",39.31 ± 2.45 mg Pb /kg (shoot; 500 mg Pb /kg treatment),"29.97 ± 1.48 mg Pb /kg (shoot; SB 5%, 500 mg Pb /kg treatment)",23.8% reduction in shoot Pb concentration relative to the control at 500 mg Pb /kg soil.,"Shoot BCF: 0.07 (0 mg Pb), 0.13 (100 mg Pb), 0.07 (500 mg Pb); Root BCF: 0.20 (0 mg Pb), 0.24 (100 mg Pb), 0.08 (500 mg Pb).",NR,0.80 (at 500 mg Pb /kg soil).,NR,NR,NR,Yes,No,Yes,No,"Increased soil pH; Pb hydroxide precipitation; Pb phosphate precipitation; cation exchange; adsorption onto biochar surfaces; adsorption onto negatively charged soil colloids; complexation with biochar surface functional groups; increased exchangeable Ca, Mg and K; conversion of Pb to less labile fractions; porous structure providing adsorption sites.",Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Phosphate precipitation; Pore filling / surface area; Functional group binding,"SB 5% reduced NH4NO3-extractable Pb by 51.8%, decreased shoot Pb by 23.8% and root Pb by 60.1%, improved lettuce biomass, and reduced Pb phytoavailability in contaminated calcareous soil.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
20,2026-07-21 17:22:11,18,18-1,Nejad et al. 2021,Nejad,2021,10.1016/j.chemosphere.2021.129538,South Korea,1,Husk,Rice husk,Single,Rice husk,None,No,None,Slow pyrolysis,NR,None,No,None,550,550,550,550,45,45.0,74 um,0.074,Sieved,7.9,0.1,7.9 +/- 0.1,7.4,0.7,7.4 +/- 0.7,,,NR,"OH; -COOH,;-CO-; CH; C=C; Si-O",OH; COOH; C=C; C-H; Si-O,7.6,,7.6,biochar,Pot,Loamy sand post-mining agricultural soil,Mine-affected,Naturally contaminated,As; Cd; Pb; Zn,4,As = 3.8 ± 0.1 mg /kg; Cd = 1.0 ± 0.02 mg /kg; Cu = 54.9 ± 2.1 mg /kg; Pb = 74.4 ± 1.8 mg /kg; Zn = 291 ± 5.7 mg /kg,6.7,0.05,6.7 +/- 0.05,2% (w/w),2,,60 days,60,60 days,60,125 days,125,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),"Sequential extraction procedure (Tessier et al., 1979) with emphasis on exchangeable and carbonate fractions; leachate analysis was also performed.",Tessier sequential extraction; Sequential extraction,NR,NR,NR,NR,NR,NR,As = 0.05 ± 0.01; Cd = 0.51 ± 0.00; Cu = 0.11 ± 0.00; Pb = 0.01 ± 0.00; Zn = 0.10 ± 0.01,NR,NR,NR,No,No,Yes,No,"Rice husk biochar immobilized metal(loid)s through increased soil pH, electrostatic attraction, cation exchange, adsorption on negatively charged surfaces, complexation with oxygen-containing functional groups (-OH, -COOH, carbonyl, Si-O), precipitation of metal hydroxides/carbonates/phosphates, and transformation of metals from exchangeable to less available fractions. Increased CEC and specific surface area also contributed to stabilization.",Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Electrostatic interaction; Phosphate precipitation; Carbonate precipitation; Increased CEC; Pore filling / surface area; Functional group binding,"Application of RHB at 2% (w/w) reduced the mobility and bioavailability of As, Cd, Cu, Pb and Zn in contaminated post-mining soil, decreased metal concentrations in lettuce tissues compared with the control, reduced metal translocation (TF: As 0.05, Cd 0.51, Cu 0.11, Pb 0.01, Zn 0.10), lowered easily leachable metal fractions, reduced metal concentrations in leachates, and improved root growth (14 ± 0.7 cm). Although maple leaf biochar generally showed greater stabilization, RHB was the highest-performing eligible agricultural postharvest biochar according to the review inclusion criteria.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
21,2026-07-21 18:13:22,19,19-1,Danish et al. 2019,Danish,2019,10.1515/opag-2019-0034,Pakistan,1,Peel,Banana peel,Single,Banana peel,None,No,None,Slow pyrolysis,NR,None,No,None,463,463,463,463,68,68.0,<2.0 mm,2,Sieved,8.26,,8.26,,,NR,8.9,,8.9,NR,NR,,,NR,NR,Pot,Loam (Miani soil series; Fluventic Haplocambid),Agricultural,Artificially spiked,Cr,1,"Native soil Cr = NR; experimental Cr levels = 0, 35 and 70 mg Cr /kg soil",8.03,,8.03,1% (w/w),1,,0 days,0,50 days,50,50 days,50,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),NR,NR,NR,28.91 ± 1.80 ug /g shoot Cr (Cr70 treatment),21.09 ± 1.22 ug /g shoot Cr (1% biochar; Cr70 treatment),27.0% reduction in shoot Cr concentration relative to the control at Cr70 (calculated from reported treatment means).,NR,NR,NR,NR,NR,NR,No,No,No,No,Adsorption of Cr onto biochar surfaces; reduction of toxic Cr(VI) to Cr(III) by electron-donating functional groups and dissolved organic carbon; sorption by phenolic functional groups; increased Fe retention; improved soil physicochemical properties; reduced Cr uptake; antagonistic interaction between Fe and Cr; improved nutrient availability.,Increased soil pH; Adsorption; Cr(VI) reduction; Increased SOM/DOC; Functional group binding,"Banana peel biochar (1%) reduced shoot Cr by 27.0%, reduced root Cr by 22.8%, increased Fe uptake, and improved spinach growth and chlorophyll content under Cr toxicity.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
22,2026-07-21 18:36:19,22,22-1,Younis et al. 2016,Younis,2016,10.1007/s11356-016-7344-3,Pakistan,1,Crop residue,Cotton stalk,Single,Waste cotton stalks collected after crop harvesting,None,No,None,Slow pyrolysis,NR,None,No,None,450,450,450,450,,NR,NR,,NR,9.5,,9.5,,,NR,15.23,,15.23,NR,NR,,,NR,NR,Pot,Aridisol; sandy loam,Agricultural,Artificially spiked,Cd,1,"Initial AB-DTPA-extractable soil Cd = 0.075 mg /kg; experimental Cd additions = 0, 25, 50 and 100 mg Cd /kg soil",6.5,,6.5,5% (w/w),5,,NR,,52 days,52,52 days,52,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),NR,NR,NR,Approximately 3.2 mg Cd /kg DW in shoots at 25 mg Cd /kg soil,Approximately 1.5 mg Cd /kg DW in shoots with 5% biochar at 25 mg Cd /kg soil,53% reduction in shoot Cd concentration relative to the corresponding Cd-only treatment,NR,NR,NR,NR,NR,NR,No,No,No,No,Sorption and retention of Cd on biochar surfaces; high porosity and availability of adsorption sites; Cd immobilization in soil; improvement of soil physicochemical properties; improved nutrient uptake; reduced transfer of Cd to spinach shoots; reduction of Cd-induced oxidative stress,Increased soil pH; Adsorption; Pore filling / surface area,Cotton stalk biochar at 5% reduced shoot Cd by 53% and improved spinach growth and photosynthesis.,Yes,Yes,Yes,Yes,Yes,Very low,Nelson
23,2026-07-11 12:55:45,23,23-1,Su et al. 2016,Su,2016,10.1016/j.jhazmat.2016.07.039,China,1,Crop residue,Sugarcane bagasse,Single,Sugarcane bagasse,None,No,None,Slow pyrolysis,NR,None,No,None,600,600,600,600,120,120.0,NR,,NR,,,NR,,,NR,,,NR,O-H stretching (~3348 /cm); H-O-H bending (~1627 /cm); C-O stretching (~1095 /cm),OH; C-O,,,NR,NR,Pot,Agricultural soil,Agricultural,Artificially spiked,Cr; Cr(VI),2,Cr(VI) = 320 mg /kg; Total Cr = 800 mg /kg,5.56,,5.56,1% (w/w),1,,15 days,15,10 days,10,25 days,25,Mustard (Brassica juncea),Mustard,Brassica juncea,1,Shoot (leaves),"Toxicity Characteristic Leaching Procedure (TCLP, US EPA 1311); Tessier sequential extraction for Cr speciation",TCLP; Tessier sequential extraction; Sequential extraction,Cr(VI): 11.02% immobilization; Total Cr: 10.06% immobilization (highest BC-alone dosage),Leaf: 116 mg /kg; Stem: 263 mg /kg; Root: 452 mg /kg,Leaf: 92 mg /kg; Stem: 235 mg /kg; Root: 423 mg /kg,Leaf: 20.7%; Stem: 10.6%; Root: 6.4% reduction,0.409,NR,0.773,NR,NR,NR,Yes,No,Yes,No,Surface adsorption; Surface complexation; Increased soil pH; Complexation with oxygen-containing functional groups; Conversion of exchangeable Cr to Fe-Mn oxide-bound and organic matter-bound fractions; Reduced Cr bioavailability,Increased soil pH; Adsorption; Surface complexation; Fe/Mn oxide binding; Increased SOM/DOC; Functional group binding,"Bagasse biochar alone moderately immobilized Cr(VI), reduced Cr accumulation in cabbage mustard tissues, and improved soil fertility, although its performance was substantially lower than biochar-supported nZVI.",No,Yes,Yes,Yes,Yes,Low,Nelson
24,2026-07-11 13:07:02,23,23-2,Su et al. 2016,Su,2016,10.1016/j.jhazmat.2016.07.039,China,1,Crop residue,Sugarcane bagasse,Single,Sugarcane bagasse,None,No,None,Slow pyrolysis,NR,zero-valent iron nanoparticles (nZVI) supported on biochar (nZVI@BC),Yes,nZVI,600,600,600,600,120,120.0,NR,,NR,,,NR,,,NR,,,NR,O-H stretching (~3348 /cm); H-O-H bending (~1627 /cm); C-O stretching (~1095 /cm); Fe-O vibration after nZVI loading,OH; C-O; Fe-O,,,NR,NR,Pot,Agricultural soil,Agricultural,Artificially spiked,Cr; Cr(VI),2,Cr(VI) = 320 mg /kg; Total Cr = 800 mg /kg,5.56,,5.56,0.8% (w/w),0.8,,15 days,15,10 days,10,25 days,25,Mustard (Brassica juncea),Mustard,Brassica juncea,1,Shoot (leaves),"Toxicity Characteristic Leaching Procedure (TCLP, US EPA 1311); Tessier sequential extraction for Cr speciation",TCLP; Tessier sequential extraction; Sequential extraction,Cr(VI): 100% immobilization; Total Cr: 91.94% immobilization,Leaf: 116 mg /kg; Stem: 263 mg /kg; Root: 452 mg /kg,Leaf: 24 mg /kg; Stem: 116 mg /kg; Root: 269 mg /kg,Leaf: 79.3%; Stem: 55.9%; Root: 40.5% reduction,0.107,NR,0.431,NR,NR,NR,Yes,No,Yes,No,Reduction of Cr(VI) to Cr(III) by nZVI; Surface adsorption; Surface complexation; Fe-Cr co-precipitation; Formation of Fe/Cr hydroxides; Increased soil pH; Conversion of exchangeable Cr to residual fractions; Biochar acting as a support matrix preventing nZVI aggregation and enhancing electron transfer,Increased soil pH; Adsorption; Surface complexation; Precipitation; Cr(VI) reduction,"Bagasse biochar-supported nZVI achieved complete Cr(VI) immobilization, reduced Cr accumulation in cabbage mustard leaves by approximately 79%, and substantially improved soil remediation compared with biochar alone.",No,Yes,Yes,Yes,Yes,Low,Nelson
25,2026-07-11 13:33:50,24,24-1,Raczkiewicz et al. 2025,Raczkiewicz,2025,10.1016/j.jhazmat.2025.138537,Poland,1,Crop residue,Oil palm bunch,Single,Palm bunch biomass,None,No,None,Slow pyrolysis,NR,None,No,None,550,550,550,550,180,180.0,1 um,0.001,Sieved,10.8,,10.8,1.14,,1.14,20.66,,20.66,Hydroxyl (-OH); Carboxyl (-COOH); Carbonyl (C=O); Phenolic groups; Aromatic C=C; Oxygen-containing functional groups confirmed by FTIR/XPS,OH; COOH; C=O; C=C,,,NR,NR,Pot,Agricultural soil,Agricultural,Naturally contaminated,Cr; Cu; Fe; Mn; Ni; Pb; Zn,7,"Cr = 54.47 mg/kg; Cu = 28.04 mg/kg; Fe = 14,193 mg/kg; Mn = 750.1 mg/kg; Ni = 17.37 mg/kg; Zn = 604.7 mg/kg; Pb = 83.75 mg/kg",6.75,,6.75,2% (w/w),2,,No pre-incubation; biochar was mixed with soil immediately before transplanting seedlings,0,6 weeks,42,6 weeks,42,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),ater (H2O) extraction; 0.01 M CaCl2 extraction; ICP-OES determination,CaCl2; Water extraction,"At 6 weeks (T1), approximately Cr 41%; Cu 29%; Fe 53%; Mn 36%; Ni 27%; Zn 31%; Pb 100% reduction in the H2O-extractable fraction relative to the control (values estimated from Fig. 2 because exact numerical values were not tabulated).",Cr = 0.0493; Cu = 2.510; Fe = 0.0356; Mn = 0.128; Ni = 0.547; Zn = 0.356; Pb = 0.882 mg/kg DW,Cr = 0.0349; Cu = 1.558; Fe = 0.0246; Mn = 0.0921; Ni = 0.403; Zn = 0.311; Pb = 0.192 mg/kg DW,Cr 29.3%; Cu 37.9%; Fe 30.8%; Mn 28.0%; Ni 26.3%; Zn 12.6%; Pb 78.2% reduction (calculated from reported concentrations),Reported; reduced relative to control. Representative values: Cr 0.0349; Cu 1.558; Fe 0.0246; Mn 0.0921; Ni 0.4029; Zn 0.3109; Pb 0.1922,NR,NR,Reported; reduced compared with control for all evaluated PTEs.,Reported; reduced compared with control.,NR,Yes,No,No,Yes,Ion exchange; Precipitation; Surface complexation; Adsorption onto oxygen-containing functional groups; Increased soil pH; Increased EC; Organo-metal complex formation; Electrostatic interactions,Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Electrostatic interaction; Functional group binding,"Palm bunch bulk biochar reduced PTE bioavailability, decreased metal accumulation in lettuce leaves, lowered bioaccumulation and health risk indices, and improved contaminated soil quality.",No,Yes,Yes,Yes,Yes,Low,Nelson
26,2026-07-11 13:53:33,24,24-2,Raczkiewicz et al. 2025,Raczkiewicz,2025,10.1016/j.jhazmat.2025.138537,Poland,1,Crop residue,Oil palm bunch,Single,Palm bunch biomass,None,No,None,Slow pyrolysis,NR,Nano-biochar (particle size reduced by ball milling),Yes,Particle-size reduced (nano),550,550,550,550,180,180.0,<0.0001 mm (nano),0.0001,Nano,10.7,,10.7,10.43,,10.43,20.66,,20.66,Hydroxyl (-OH); Carboxyl (-COOH); Carbonyl (C=O); Phenolic groups; Aromatic C=C; Oxygen-containing functional groups confirmed by FTIR/XPS,OH; COOH; C=O; C=C,,,NR,NR,Pot,Agricultural soil,Agricultural,Naturally contaminated,Cr; Cu; Fe; Mn; Ni; Pb; Zn,7,"Cr = 54.47 mg/kg; Cu = 28.04 mg/kg; Fe = 14,193 mg/kg; Mn = 750.1 mg/kg; Ni = 17.37 mg/kg; Zn = 604.7 mg/kg; Pb = 83.75 mg/kg",6.75,,6.75,2% (w/w),2,,No pre-incubation; biochar mixed with soil immediately before transplanting,0,6 weeks,42,6 weeks,42,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),Water (H2O) extraction; 0.01 M CaCl2 extraction; ICP-OES determination,CaCl2; Water extraction,"At 6 weeks (T1), approximately Cr 55%; Cu 42%; Fe 66%; Mn 51%; Ni 43%; Zn 47%; Pb 100% reduction in the H2O-extractable fraction relative to the control (estimated from Fig. 2 because exact numerical values were not tabulated).",Cr = 0.0493; Cu = 2.510; Fe = 0.0356; Mn = 0.128; Ni = 0.547; Zn = 0.356; Pb = 0.882 mg/kg DW,Cr = 0.0263; Cu = 1.214; Fe = 0.0183; Mn = 0.0684; Ni = 0.311; Zn = 0.264; Pb = 0.108 mg/kg DW,Cr 46.7%; Cu 51.6%; Fe 48.6%; Mn 46.6%; Ni 43.1%; Zn 25.8%; Pb 87.8% reduction (calculated from reported concentrations).,Reported; lower than corresponding bulk biochar. Representative values: Cr 0.0263; Cu 1.214; Fe 0.0183; Mn 0.0684; Ni 0.3110; Zn 0.2640; Pb 0.1080,NR,NR,Reported; lower than bulk biochar and control for all evaluated PTEs.,Reported; lowest among palm bunch treatments.,NR,Yes,No,No,Yes,Surface adsorption; Surface complexation; Ion exchange; Electrostatic attraction; Increased reactive surface area; Increased surface functional groups; Organo-metal complex formation; Increased soil pH; Enhanced binding due to nanoscale particle size,Increased soil pH; Adsorption; Surface complexation; Ion exchange; Electrostatic interaction; Pore filling / surface area; Functional group binding,"Palm bunch nano-biochar reduced PTE bioavailability and lettuce metal accumulation more effectively than bulk palm bunch biochar, resulting in lower bioaccumulation and health risk indices.",No,Yes,Yes,Yes,Yes,Low,Nelson
27,2026-07-11 14:02:50,24,24-3,Raczkiewicz et al. 2025,Raczkiewicz,2025,10.1016/j.jhazmat.2025.138537,Poland,1,Husk,Rice husk,Single,Rice husk,None,No,None,Slow pyrolysis,NR,None,No,None,550,550,550,550,180,180.0,1 um,0.001,Sieved,9.9,,9.9,2.72,,2.72,34.62,,34.62,Hydroxyl (-OH); Carboxyl (-COOH); Carbonyl (C=O); Aromatic C=C; Oxygen-containing functional groups confirmed by FTIR/XPS,OH; COOH; C=O; C=C,,,NR,NR,Pot,Agricultural soil,Agricultural,Naturally contaminated,Cr; Cu; Fe; Mn; Ni; Pb; Zn,7,"Cr = 54.47 mg/kg; Cu = 28.04 mg/kg; Fe = 14,193 mg/kg; Mn = 750.1 mg/kg; Ni = 17.37 mg/kg; Zn = 604.7 mg/kg; Pb = 83.75 mg/kg",6.75,,6.75,2% (w/w),2,,No pre-incubation; biochar mixed with soil immediately before transplanting,0,6 weeks,42,6 weeks,42,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),Water (H2O) extraction; 0.01 M CaCl2 extraction; ICP-OES determination,CaCl2; Water extraction,"At 6 weeks (T1), approximately Cr 47%; Cu 34%; Fe 59%; Mn 43%; Ni 33%; Zn 38%; Pb 100% reduction in the H2O-extractable fraction relative to the control",Cr = 0.0493; Cu = 2.510; Fe = 0.0356; Mn = 0.128; Ni = 0.547; Zn = 0.356; Pb = 0.882 mg/kg D,Cr = 0.0301; Cu = 1.402; Fe = 0.0219; Mn = 0.0798; Ni = 0.354; Zn = 0.282; Pb = 0.156 mg/kg DW,Cr 38.9%; Cu 44.1%; Fe 38.5%; Mn 37.7%; Ni 35.3%; Zn 20.8%; Pb 82.3% reduction,Reported; lower than control. Representative values: Cr 0.0301; Cu 1.402; Fe 0.0219; Mn 0.0798; Ni 0.354; Zn 0.282; Pb 0.156,NR,NR,Reported; reduced compared with control for all evaluated PTEs.,Reported; reduced compared with control.,NR,Yes,No,No,Yes,Surface adsorption; Surface complexation; Ion exchange; Electrostatic attraction; Increased soil pH; Mineral precipitation; Organo-metal complex formation; Binding through oxygen-containing functional groups,Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Electrostatic interaction; Functional group binding,"Rice husk bulk biochar reduced PTE bioavailability, decreased metal accumulation in lettuce leaves, and lowered bioaccumulation and human health risk indicators in contaminated agricultural soil.",No,Yes,Yes,Yes,Yes,Low,Nelson
28,2026-07-11 14:10:32,24,24-4,Raczkiewicz et al. 2025,Raczkiewicz,2025,10.1016/j.jhazmat.2025.138537,Poland,1,Husk,Rice husk,Single,Rice husk,None,No,None,Slow pyrolysis,NR,Nano-biochar (particle size reduced by ball milling),Yes,Particle-size reduced (nano),550,550,550,550,180,180.0,<0.0001 mm (nano),0.0001,Nano,9.8,,9.8,16.79,,16.79,34.62,,34.62,Hydroxyl (-OH); Carboxyl (-COOH); Carbonyl (C=O); Aromatic C=C; Oxygen-containing functional groups confirmed by FTIR/XPS,OH; COOH; C=O; C=C,,,NR,NR,Pot,Agricultural soil,Agricultural,Naturally contaminated,Cr; Cu; Fe; Mn; Ni; Pb; Zn,7,"Cr = 54.47 mg/kg; Cu = 28.04 mg/kg; Fe = 14,193 mg/kg; Mn = 750.1 mg/kg; Ni = 17.37 mg/kg; Zn = 604.7 mg/kg; Pb = 83.75 mg/kg",6.75,,6.75,2% (w/w),2,,No pre-incubation; biochar mixed with soil immediately before transplanting,0,6 weeks,42,6 weeks,42,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),Water (H2O) extraction; 0.01 M CaCl2 extraction; ICP-OES determination,CaCl2; Water extraction,"At 6 weeks (T1), approximately Cr 63%; Cu 48%; Fe 72%; Mn 58%; Ni 48%; Zn 54%; Pb 100% reduction in the H2O-extractable fraction relative to the control",Cr = 0.0493; Cu = 2.510; Fe = 0.0356; Mn = 0.128; Ni = 0.547; Zn = 0.356; Pb = 0.882 mg/kg DW,Cr = 0.0218; Cu = 1.021; Fe = 0.0157; Mn = 0.0572; Ni = 0.281; Zn = 0.241; Pb = 0.081 mg/kg DW,Cr 55.8%; Cu 59.3%; Fe 55.9%; Mn 55.3%; Ni 48.6%; Zn 32.3%; Pb 90.8% reduction,Reported; lowest among all rice husk treatments. Representative values: Cr 0.0218; Cu 1.021; Fe 0.0157; Mn 0.0572; Ni 0.281; Zn 0.241; Pb 0.081,NR,NR,Reported; lowest among the rice husk treatments and substantially reduced compared with the control.,Reported; lowest among the rice husk treatments and substantially reduced compared with the control.,NR,Yes,No,No,Yes,Surface adsorption; Surface complexation; Ion exchange; Electrostatic attraction; Enhanced sorption due to nanoscale particle size and increased specific surface area; Increased soil pH; Organo-metal complex formation; Binding through oxygen-containing functional groups,Increased soil pH; Adsorption; Surface complexation; Ion exchange; Electrostatic interaction; Pore filling / surface area; Functional group binding,"Rice husk nano-biochar produced greater reductions in PTE bioavailability and lettuce metal accumulation than bulk rice husk biochar, resulting in the lowest bioaccumulation and human health risk indices among the rice husk treatments.",No,Yes,Yes,Yes,Yes,Low,Nelson
29,2026-07-11 14:30:31,25,25-1,Quan et al. 2024,Quan,2024,10.1007/s10653-024-02245-3,China,1,Husk,Rice husk,Single,Rice husk,None,No,None,Slow pyrolysis,NR,None,No,None,,,,NR,,NR,NR,,NR,9.09,,9.09,38.15,,38.15,,,NR,"O-H (hydroxyl, ~3432 /cm); C=C (aromatic carbon, ~1620 /cm); C-O-C (~1100 /cm); Metal-O (M-O, ~566 /cm) identified by FTIR.",OH; C=C; C-O; Fe-O,89.96,,89.96,biochar,Field,Agricultural soil,Agricultural,Naturally contaminated,Cd; Pb,2,Total Cd = 1.95 ± 0.06 mg /kg; Total Pb = 127 ± 9.45 mg /kg; Available Cd = 0.36 ± 0.03 mg /kg; Available Pb = 8.63 ± 0.92 mg /kg,6.23,0.21,6.23 +/- 0.21,10 t /ha,,10,NR,,Approximately December 2020 (vegetative harvest) to May 2021 (seed maturity),,Approximately 6 months,180,Rapeseed (Brassica napus); Shanghaiqing (Brassica campestris),Rapeseed; Shanghaiqing,Brassica napus; Brassica campestris,2,Shoot (leaves),DTPA extraction followed by ICP-MS determination,DTPA,DTPA-Cd reduced by 16.7% (Shanghaiqing) and 17.2% (Fengyou 737). DTPA-Pb reduced relative to control (figure shows significant reduction but exact percentage for RHB not reported).,Reported graphically,Reported graphically,"Shoot Cd reduced by 37.4% (Shanghaiqing) and 28.4% (Fengyou 737). Shoot Pb also significantly reduced in both vegetables, but exact percentages were not reported.",NR,NR,"Reported. Cd translocation from roots to shoots, pods and seeds was significantly reduced after RHB application, but numerical TF values were not tabulated.",NR,NR,NR,No,No,Yes,No,Electrostatic adsorption; Surface complexation; Cation exchange; Increased soil pH; High CEC; Porous structure; Oxygen-containing functional groups; Reduced DTPA-extractable Cd and Pb; Alteration of rhizosphere microbial community.,Increased soil pH; Adsorption; Surface complexation; Ion exchange; Electrostatic interaction; Microbial immobilization; Increased CEC; Pore filling / surface area; Functional group binding,Rice husk biochar effectively reduced Cd and Pb bioavailability and accumulation in edible Brassica tissues while improving rhizosphere microbial communities under field conditions.,No,Yes,Yes,Yes,Yes,Low,Nelson
